hid,pid,person_number,age,sex
61469,143076,2,3,2
61469,143077,3,1,1
61469,143078,4,8,1
61469,143079,5,0,2
61469,143080,6,27,2
61470,143081,1,88,2
61471,143082,1,67,1
61471,143083,2,67,2
61472,143084,1,47,1
61472,143085,2,43,2
61472,143086,3,15,1
61472,143087,4,15,1
61472,143088,5,10,1
61472,143089,6,6,2
61473,143090,1,51,2
61473,143091,2,51,1
61473,143092,3,24,2
61473,143093,4,1,1
61473,143094,5,23,1
61474,143095,1,47,2
61474,143096,2,14,2
61475,143097,1,66,1
61475,143098,2,54,2
61475,143099,3,22,1
61476,143100,1,53,1
61476,143101,2,49,2
61476,143102,3,15,2
61477,143103,1,70,2
61478,143104,1,74,1
61479,143105,1,47,2
61479,143106,2,46,1
61479,143107,3,13,1
61480,143108,1,62,1
61480,143109,2,58,2
61480,143110,3,25,1
61481,143111,1,58,2
61481,143112,2,41,1
61481,143113,3,18,1
61482,143114,1,81,2
61483,143115,1,68,1
61483,143116,2,30,2
61483,143117,3,7,2
61484,143118,1,63,1
61484,143119,2,60,2
61485,143120,1,49,1
61485,143121,2,42,2
61485,143122,3,23,1
61485,143123,4,15,2
61486,143124,1,59,2
61486,143125,2,60,1
61487,143126,1,70,1
61487,143127,2,46,1
61487,143128,3,20,2
61488,143129,1,54,2
61488,143130,2,56,1
61488,143131,3,29,1
61488,143132,4,21,1
61489,143133,1,54,1
61489,143134,2,51,2
61489,143135,3,23,2
61489,143136,4,19,2
61490,143137,1,61,1
61491,143138,1,45,1
61491,143139,2,56,2
61492,143140,1,73,1
61493,143141,1,93,2
61494,143142,1,60,1
61495,143143,1,28,1
61495,143144,2,26,2
61495,143145,3,4,1
61495,143146,4,1,2
61495,143147,5,52,1
61496,143148,1,61,1
61497,143149,1,53,1
61498,143150,1,51,2
61498,143151,2,54,1
61498,143152,3,20,2
61499,143153,1,64,1
61499,143154,2,64,2
61500,143155,1,48,2
61500,143156,2,21,2
61500,143157,3,14,2
61501,143158,1,41,2
61501,143159,2,47,1
61501,143160,3,15,2
61501,143161,4,13,1
61501,143162,5,19,1
61501,143163,6,16,2
61502,143164,1,52,1
61502,143165,2,23,1
61502,143166,3,12,1
61502,143167,4,44,2
61503,143168,1,35,2
61504,143169,1,66,1
61504,143170,2,63,2
61505,143171,1,58,2
61505,143172,2,61,1
61506,143173,1,42,2
61506,143174,2,17,2
61506,143175,3,14,2
61506,143176,4,13,1
61506,143177,5,10,1
61507,143178,1,28,2
61507,143179,2,47,2
61507,143180,3,20,1
61507,143181,4,17,1
61507,143182,5,12,2
61508,143183,1,66,2
61509,143184,1,56,2
61510,143185,1,47,1
61510,143186,2,43,2
61510,143187,3,15,1
61510,143188,4,15,1
61510,143189,5,10,1
61510,143190,6,6,2
61511,143191,1,50,2
61511,143192,2,52,1
61511,143193,3,70,2
61512,143194,1,60,2
61513,143195,1,48,2
61513,143196,2,57,1
61513,143197,3,18,1
61514,143198,1,68,1
61515,143199,1,77,1
61515,143200,2,74,2
61516,143201,1,49,2
61516,143202,2,50,1
61516,143203,3,14,1
61517,143204,1,56,2
61517,143205,2,58,1
61517,143206,3,81,2
61518,143207,1,32,1
61518,143208,2,33,2
61518,143209,3,9,1
61518,143210,4,4,2
61519,143211,1,49,1
61519,143212,2,42,2
61519,143213,3,23,1
61519,143214,4,15,2
61520,143215,1,25,1
61520,143216,2,28,2
61520,143217,3,4,2
61520,143218,4,9,1
61521,143219,1,30,2
61521,143220,2,37,1
61521,143221,3,16,2
61521,143222,4,14,2
61521,143223,5,12,1
61521,143224,6,6,1
61522,143225,1,68,2
61522,143226,2,16,1
61522,143227,3,13,1
61523,143228,1,47,2
61523,143229,2,47,1
61523,143230,3,24,1
61523,143231,4,22,1
61524,143232,1,47,2
61524,143233,2,46,1
61524,143234,3,18,1
61525,143235,1,53,2
61525,143236,2,55,1
61525,143237,3,17,1
61525,143238,4,14,2
61526,143239,1,52,1
61527,143240,1,52,1
61527,143241,2,50,2
61528,143242,1,49,2
61528,143243,2,50,1
61528,143244,3,20,2
61529,143245,1,47,1
61529,143246,2,43,2
61529,143247,3,15,1
61529,143248,4,15,1
61529,143249,5,10,1
61529,143250,6,6,2
61530,143251,1,59,1
61530,143252,2,28,2
61530,143253,3,7,1
61531,143254,1,62,2
61532,143255,1,50,2
61532,143256,2,22,2
61533,143257,1,68,1
61533,143258,2,45,1
61534,143259,1,49,2
61534,143260,2,26,2
61534,143261,3,7,2
61534,143262,4,4,2
61534,143263,5,24,1
61535,143264,1,58,2
61535,143265,2,25,2
61535,143266,3,16,2
61535,143267,4,1,2
61536,143268,1,77,2
61537,143269,1,39,2
61537,143270,2,34,1
61537,143271,3,18,1
61537,143272,4,12,1
61538,143273,1,63,1
61538,143274,2,62,2
61539,143275,1,47,2
61540,143276,1,28,1
61540,143277,2,26,2
61540,143278,3,4,1
61540,143279,4,1,2
61540,143280,5,52,1
61541,143281,1,64,2
61541,143282,2,66,1
61541,143283,3,20,2
61541,143284,4,2,1
61542,143285,1,76,1
61543,143286,1,43,1
61543,143287,2,42,2
61543,143288,3,21,2
61543,143289,4,19,1
61544,143290,1,44,2
61544,143291,2,48,1
61544,143292,3,15,1
61544,143293,4,12,2
61545,143294,1,89,1
61546,143295,1,49,2
61546,143296,2,13,2
61546,143297,3,10,1
61547,143298,1,57,1
61548,143299,1,63,1
61548,143300,2,50,2
61549,143301,1,65,2
61549,143302,2,64,1
61549,143303,3,41,1
61550,143304,1,55,1
61550,143305,2,53,2
61550,143306,3,31,2
61551,143307,1,47,2
61551,143308,2,50,1
61551,143309,3,14,1
61551,143310,4,12,1
61552,143311,1,54,2
61552,143312,2,48,1
61552,143313,3,22,1
61552,143314,4,20,1
61553,143315,1,83,2
61554,143316,1,43,2
61554,143317,2,45,1
61555,143318,1,47,1
61555,143319,2,43,2
61555,143320,3,17,2
61556,143321,1,45,1
61556,143322,2,42,2
61556,143323,3,16,1
61556,143324,4,12,1
61556,143325,5,6,2
61557,143326,1,62,1
61557,143327,2,58,2
61557,143328,3,16,1
61558,143329,1,42,1
61558,143330,2,40,2
61558,143331,3,8,1
61558,143332,4,7,1
61558,143333,5,5,2
61559,143334,1,51,2
61559,143335,2,54,1
61560,143336,1,38,1
61560,143337,2,35,2
61560,143338,3,7,2
61561,143339,1,54,2
61561,143340,2,46,2
61562,143341,1,68,2
61562,143342,2,71,1
61563,143343,1,60,2
61563,143344,2,60,1
61563,143345,3,20,2
61564,143346,1,49,2
61564,143347,2,59,1
61565,143348,1,39,2
61565,143349,2,34,1
61565,143350,3,18,1
61565,143351,4,12,1
61566,143352,1,56,2
61566,143353,2,58,1
61566,143354,3,81,2
61567,143355,1,48,1
61568,143356,1,71,1
61568,143357,2,67,2
61569,143358,1,56,2
61569,143359,2,41,1
61569,143360,3,10,1
61570,143361,1,62,1
61571,143362,1,46,2
61571,143363,2,48,1
61571,143364,3,18,1
61572,143365,1,72,2
61572,143366,2,75,1
61573,143367,1,49,1
61573,143368,2,46,2
61573,143369,3,26,2
61573,143370,4,23,1
61573,143371,5,20,1
61573,143372,6,2,2
61574,143373,1,56,1
61574,143374,2,51,2
61574,143375,3,23,1
61575,143376,1,58,1
61576,143377,1,69,1
61576,143378,2,55,2
61577,143379,1,53,2
61577,143380,2,55,1
61577,143381,3,17,1
61577,143382,4,14,2
61578,143383,1,61,1
61578,143384,2,61,2
61578,143385,3,36,2
61578,143386,4,11,1
61578,143387,5,10,2
61579,143388,1,30,1
61579,143389,2,27,2
61579,143390,3,1,2
61580,143391,1,31,1
61580,143392,2,27,2
61580,143393,3,0,1
61581,143394,1,44,2
61581,143395,2,44,1
61582,143396,1,34,1
61582,143397,2,10,1
61582,143398,3,5,1
61583,143399,1,85,1
61584,143400,1,77,1
61584,143401,2,75,2
61584,143402,3,19,2
61585,143403,1,34,1
61585,143404,2,32,2
61585,143405,3,8,1
61585,143406,4,3,2
61585,143407,5,0,2
61586,143408,1,59,2
61586,143409,2,63,1
61586,143410,3,85,2
61587,143411,1,51,1
61587,143412,2,50,2
61588,143413,1,40,2
61588,143414,2,50,1
61588,143415,3,16,1
61588,143416,4,15,1
61588,143417,5,11,1
61589,143418,1,75,1
61589,143419,2,75,2
61590,143420,1,40,2
61590,143421,2,41,1
61590,143422,3,17,2
61590,143423,4,10,1
61590,143424,5,8,2
61591,143425,1,53,1
61591,143426,2,55,2
61591,143427,3,18,1
61592,143428,1,43,1
61592,143429,2,42,2
61592,143430,3,21,2
61592,143431,4,19,1
61593,143432,1,33,1
61593,143433,2,28,2
61593,143434,3,0,2
61594,143435,1,48,1
61595,143436,1,56,1
61595,143437,2,51,2
61595,143438,3,21,2
61595,143439,4,16,1
61596,143440,1,54,2
61596,143441,2,48,1
61596,143442,3,22,1
61596,143443,4,20,1
61597,143444,1,57,1
61597,143445,2,58,2
61597,143446,3,31,2
61598,143447,1,55,1
61598,143448,2,49,2
61598,143449,3,14,1
61599,143450,1,32,2
61599,143451,2,13,1
61599,143452,3,3,1
61600,143453,1,50,2
61600,143454,2,68,1
61601,143455,1,27,2
61601,143456,2,1,2
61601,143457,3,28,1
61602,143458,1,48,2
61602,143459,2,55,1
61602,143460,3,18,1
61603,143461,1,63,2
61604,143462,1,32,2
61604,143463,2,37,1
61605,143464,1,52,2
61605,143465,2,46,1
61606,143466,1,49,1
61606,143467,2,39,2
61606,143468,3,18,1
61606,143469,4,15,2
61606,143470,5,12,1
61606,143471,6,11,1
61607,143472,1,86,1
61607,143473,2,87,2
61607,143474,3,17,1
61608,143475,1,59,2
61609,143476,1,38,1
61609,143477,2,36,2
61609,143478,3,16,2
61609,143479,4,12,2
61609,143480,5,7,1
61610,143481,1,36,2
61610,143482,2,19,2
61610,143483,3,17,2
61610,143484,4,16,1
61610,143485,5,64,2
61611,143486,1,62,1
61612,143487,1,47,2
61612,143488,2,52,1
61612,143489,3,19,2
61612,143490,4,17,1
61612,143491,5,12,2
61613,143492,1,61,1
61614,143493,1,86,1
61615,143494,1,70,1
61615,143495,2,65,2
61615,143496,3,46,1
61615,143497,4,42,1
61616,143498,1,49,2
61616,143499,2,66,1
61617,143500,1,66,1
61617,143501,2,54,2
61617,143502,3,22,1
61618,143503,1,60,1
61618,143504,2,56,2
61619,143505,1,40,2
61619,143506,2,41,1
61619,143507,3,13,2
61619,143508,4,11,2
61620,143509,1,54,2
61620,143510,2,58,1
61621,143511,1,57,1
61622,143512,1,61,1
61623,143513,1,48,2
61623,143514,2,57,1
61623,143515,3,18,1
61624,143516,1,61,1
61624,143517,2,59,2
61625,143518,1,52,2
61625,143519,2,54,1
61625,143520,3,19,1
61626,143521,1,55,1
61626,143522,2,56,2
61627,143523,1,54,2
61628,143524,1,48,2
61628,143525,2,57,1
61628,143526,3,18,1
61629,143527,1,52,2
61629,143528,2,16,2
61629,143529,3,14,1
61630,143530,1,40,2
61630,143531,2,11,1
61630,143532,3,11,1
61630,143533,4,6,1
61630,143534,5,66,2
61631,143535,1,26,1
61632,143536,1,58,1
61633,143537,1,48,1
61633,143538,2,10,2
61633,143539,3,37,2
61634,143540,1,93,2
61635,143541,1,64,1
61636,143542,1,67,1
61637,143543,1,59,1
61637,143544,2,60,2
61638,143545,1,80,2
61639,143546,1,49,1
61639,143547,2,42,2
61639,143548,3,23,1
61639,143549,4,15,2
61640,143550,1,73,1
61641,143551,1,51,1
61641,143552,2,47,2
61641,143553,3,15,1
61641,143554,4,13,1
61642,143555,1,75,2
61643,143556,1,39,2
61643,143557,2,65,2
61643,143558,3,69,2
61644,143559,1,62,1
61644,143560,2,59,2
61644,143561,3,25,1
61645,143562,1,63,1
61645,143563,2,62,2
61645,143564,3,29,2
61646,143565,1,69,1
61646,143566,2,68,2
61647,143567,1,69,2
61647,143568,2,75,1
61648,143569,1,76,1
61648,143570,2,64,2
61648,143571,3,57,1
61649,143572,1,40,2
61649,143573,2,41,1
61649,143574,3,13,2
61649,143575,4,11,2
61650,143576,1,32,2
61650,143577,2,37,1
61651,143578,1,25,1
61651,143579,2,28,2
61651,143580,3,4,2
61651,143581,4,9,1
61652,143582,1,59,1
61652,143583,2,57,2
61652,143584,3,28,1
61653,143585,1,59,1
61654,143586,1,64,1
61654,143587,2,62,2
61655,143588,1,42,2
61655,143589,2,40,1
61655,143590,3,16,1
61655,143591,4,14,1
61656,143592,1,80,1
61657,143593,1,66,2
61657,143594,2,46,2
61657,143595,3,14,2
61658,143596,1,57,1
61659,143597,1,60,1
61659,143598,2,60,2
61660,143599,1,47,1
61660,143600,2,47,2
61660,143601,3,35,1
61660,143602,4,64,2
61661,143603,1,53,2
61661,143604,2,54,1
61661,143605,3,21,2
61661,143606,4,19,2
61661,143607,5,15,2
61661,143608,6,12,2
61662,143609,1,60,2
61662,143610,2,60,1
61662,143611,3,20,2
61663,143612,1,59,2
61663,143613,2,63,1
61663,143614,3,85,2
61664,143615,1,30,1
61664,143616,2,31,2
61664,143617,3,2,1
61665,143618,1,64,1
61665,143619,2,63,2
61666,143620,1,50,1
61666,143621,2,43,2
61666,143622,3,8,1
61666,143623,4,15,1
61667,143624,1,56,2
61668,143625,1,63,2
61668,143626,2,63,1
61669,143627,1,53,1
61669,143628,2,47,2
61670,143629,1,32,1
61670,143630,2,27,2
61670,143631,3,0,2
61671,143632,1,72,1
61671,143633,2,68,2
61672,143634,1,35,1
61672,143635,2,12,2
61672,143636,3,10,1
61673,143637,1,54,1
61673,143638,2,59,2
61674,143639,1,53,2
61674,143640,2,44,1
61674,143641,3,13,2
61674,143642,4,11,1
61675,143643,1,55,2
61675,143644,2,55,1
61675,143645,3,79,2
61676,143646,1,55,1
61677,143647,1,46,1
61677,143648,2,39,2
61677,143649,3,78,2
61678,143650,1,93,2
61679,143651,1,30,2
61679,143652,2,11,2
61679,143653,3,5,1
61679,143654,4,37,1
61680,143655,1,44,1
61680,143656,2,40,2
61680,143657,3,18,2
61680,143658,4,14,1
61681,143659,1,50,1
61681,143660,2,47,2
61682,143661,1,25,2
61682,143662,2,5,1
61682,143663,3,2,1
61683,143664,1,78,1
61683,143665,2,67,2
61683,143666,3,43,1
61684,143667,1,42,1
61684,143668,2,41,2
61684,143669,3,17,1
61684,143670,4,13,1
61685,143671,1,63,1
61686,143672,1,58,2
61686,143673,2,55,1
61687,143674,1,51,2
61687,143675,2,55,1
61687,143676,3,23,1
61688,143677,1,31,1
61688,143678,2,31,2
61688,143679,3,7,1
61688,143680,4,4,2
61689,143681,1,72,2
61690,143682,1,53,1
61690,143683,2,57,2
61691,143684,1,39,2
61691,143685,2,13,1
61691,143686,3,13,1
61691,143687,4,12,2
61691,143688,5,38,1
61692,143689,1,42,2
61692,143690,2,40,1
61692,143691,3,16,1
61692,143692,4,14,1
61693,143693,1,60,2
61693,143694,2,85,1
61693,143695,3,81,2
61693,143696,4,11,1
61693,143697,5,10,2
61694,143698,1,32,2
61694,143699,2,34,1
61694,143700,3,3,1
61695,143701,1,45,1
61695,143702,2,56,2
61696,143703,1,50,1
61696,143704,2,44,2
61697,143705,1,31,2
61697,143706,2,37,1
61697,143707,3,11,2
61697,143708,4,6,1
61698,143709,1,51,1
61698,143710,2,36,2
61698,143711,3,4,2
61698,143712,4,2,2
61699,143713,1,29,2
61699,143714,2,9,1
61699,143715,3,4,2
61699,143716,4,0,2
61699,143717,5,31,1
61700,143718,1,28,1
61700,143719,2,26,2
61700,143720,3,4,1
61700,143721,4,1,2
61700,143722,5,52,1
61701,143723,1,55,2
61701,143724,2,71,1
61702,143725,1,38,1
61702,143726,2,34,2
61702,143727,3,15,2
61702,143728,4,13,1
61703,143729,1,34,2
61703,143730,2,6,2
61703,143731,3,4,2
61703,143732,4,28,1
61703,143733,5,24,1
61704,143734,1,34,2
61705,143735,1,68,2
61706,143736,1,50,2
61706,143737,2,56,1
61706,143738,3,9,1
61707,143739,1,62,2
61708,143740,1,40,2
61708,143741,2,36,1
61708,143742,3,17,1
61708,143743,4,11,2
61708,143744,5,7,2
61709,143745,1,64,1
61709,143746,2,66,2
61710,143747,1,37,2
61710,143748,2,39,1
61710,143749,3,13,1
61711,143750,1,67,1
61711,143751,2,66,2
61712,143752,1,93,1
61712,143753,2,65,1
61712,143754,3,61,1
61713,143755,1,57,2
61713,143756,2,60,1
61713,143757,3,38,2
61714,143758,1,56,2
61714,143759,2,57,1
61715,143760,1,48,2
61715,143761,2,24,1
61715,143762,3,20,1
61715,143763,4,13,1
61716,143764,1,66,2
61716,143765,2,35,1
61716,143766,3,3,1
61716,143767,4,35,2
61717,143768,1,41,1
61717,143769,2,38,2
61717,143770,3,12,1
61717,143771,4,9,1
61717,143772,5,8,2
61717,143773,6,2,1
61718,143774,1,81,2
61719,143775,1,48,2
61719,143776,2,55,1
61719,143777,3,18,1
61720,143778,1,44,2
61720,143779,2,43,1
61720,143780,3,22,2
61720,143781,4,19,1
61720,143782,5,24,1
61720,143783,6,67,1
61721,143784,1,70,1
61721,143785,2,69,2
61722,143786,1,40,1
61722,143787,2,37,2
61722,143788,3,10,2
61722,143789,4,7,2
61722,143790,5,5,1
61723,143791,1,94,2
61724,143792,1,54,1
61724,143793,2,52,2
61725,143794,1,49,1
61725,143795,2,48,2
61726,143796,1,52,2
61726,143797,2,42,1
61726,143798,3,20,2
61726,143799,4,16,2
61726,143800,5,11,2
61727,143801,1,56,2
61727,143802,2,55,1
61727,143803,3,28,1
61728,143804,1,57,1
61728,143805,2,27,2
61728,143806,3,26,2
61728,143807,4,24,2
61728,143808,5,0,2
61728,143809,6,30,1
61729,143810,1,53,2
61729,143811,2,47,1
61729,143812,3,19,2
61729,143813,4,2,1
61729,143814,5,0,1
61730,143815,1,67,1
61730,143816,2,58,2
61731,143817,1,79,2
61732,143818,1,84,2
61733,143819,1,70,2
61734,143820,1,60,1
61734,143821,2,52,2
61734,143822,3,30,1
61734,143823,4,2,1
61734,143824,5,30,2
61735,143825,1,65,1
61736,143826,1,60,2
61736,143827,2,72,1
61737,143828,1,51,1
61737,143829,2,51,2
61737,143830,3,32,1
61737,143831,4,24,1
61738,143832,1,62,1
61738,143833,2,57,2
61739,143834,1,70,2
61739,143835,2,93,2
61740,143836,1,35,2
61740,143837,2,30,1
61741,143838,1,34,1
61741,143839,2,37,2
61741,143840,3,13,1
61741,143841,4,8,1
61741,143842,5,5,1
61742,143843,1,64,2
61742,143844,2,67,1
61742,143845,3,8,1
61742,143846,4,5,2
61743,143847,1,51,1
61744,143848,1,62,1
61745,143849,1,54,1
61745,143850,2,37,2
61745,143851,3,9,2
61745,143852,4,7,1
61745,143853,5,12,2
61746,143854,1,57,2
61746,143855,2,59,1
61747,143856,1,45,2
61747,143857,2,49,1
61748,143858,1,40,2
61748,143859,2,36,1
61748,143860,3,17,1
61748,143861,4,11,2
61748,143862,5,7,2
61749,143863,1,36,2
61749,143864,2,38,1
61749,143865,3,15,1
61749,143866,4,13,1
61749,143867,5,10,2
61749,143868,6,7,1
61750,143869,1,55,1
61751,143870,1,58,2
61751,143871,2,59,1
61752,143872,1,76,2
61753,143873,1,51,2
61753,143874,2,58,1
61753,143875,3,31,1
61753,143876,4,17,2
61753,143877,5,11,2
61754,143878,1,52,1
61754,143879,2,48,2
61754,143880,3,16,2
61755,143881,1,72,2
61756,143882,1,52,1
61757,143883,1,47,2
61757,143884,2,57,1
61757,143885,3,18,1
61757,143886,4,17,1
61757,143887,5,13,1
61757,143888,6,13,2
61758,143889,1,52,2
61758,143890,2,23,2
61758,143891,3,18,2
61759,143892,1,69,1
61760,143893,1,41,1
61761,143894,1,58,2
61761,143895,2,58,1
61762,143896,1,39,2
61762,143897,2,15,2
61762,143898,3,13,1
61762,143899,4,9,2
61762,143900,5,2,1
61763,143901,1,40,2
61763,143902,2,17,2
61763,143903,3,12,2
61764,143904,1,55,2
61764,143905,2,57,1
61764,143906,3,55,1
61765,143907,1,38,2
61765,143908,2,40,1
61765,143909,3,7,1
61765,143910,4,15,1
61765,143911,5,11,2
61766,143912,1,44,2
61766,143913,2,43,1
61766,143914,3,22,2
61766,143915,4,19,1
61766,143916,5,24,1
61766,143917,6,67,1
61767,143918,1,51,1
61767,143919,2,36,2
61767,143920,3,4,2
61767,143921,4,2,2
61768,143922,1,49,1
61768,143923,2,50,2
61768,143924,3,17,1
61768,143925,4,14,1
61769,143926,1,34,1
61769,143927,2,31,2
61769,143928,3,7,1
61769,143929,4,5,2
61769,143930,5,3,1
61769,143931,6,2,2
61770,143932,1,49,2
61770,143933,2,14,1
61770,143934,3,12,2
61770,143935,4,5,1
61770,143936,5,36,1
61770,143937,6,54,1
61771,143938,1,83,1
61771,143939,2,77,2
61772,143940,1,44,2
61772,143941,2,14,2
61772,143942,3,0,1
61773,143943,1,79,2
61773,143944,2,46,2
61774,143945,1,29,2
61774,143946,2,31,1
61774,143947,3,0,2
61775,143948,1,43,2
61775,143949,2,45,1
61775,143950,3,20,1
61775,143951,4,18,1
61775,143952,5,14,1
61775,143953,6,11,2
61776,143954,1,44,2
61776,143955,2,43,1
61776,143956,3,22,2
61776,143957,4,19,1
61776,143958,5,24,1
61776,143959,6,67,1
61777,143960,1,34,1
61777,143961,2,32,2
61777,143962,3,8,1
61777,143963,4,3,2
61777,143964,5,0,2
61778,143965,1,74,2
61779,143966,1,70,2
61779,143967,2,73,1
61780,143968,1,60,2
61781,143969,1,52,2
61781,143970,2,23,2
61781,143971,3,18,2
61782,143972,1,56,1
61782,143973,2,61,2
61783,143974,1,33,2
61783,143975,2,38,1
61783,143976,3,13,2
61783,143977,4,11,1
61783,143978,5,5,1
61783,143979,6,1,2
61784,143980,1,53,2
61784,143981,2,57,1
61785,143982,1,44,1
61786,143983,1,53,2
61786,143984,2,66,1
61786,143985,3,28,1
61786,143986,4,7,2
61786,143987,5,5,2
61786,143988,6,24,2
61787,143989,1,52,1
61787,143990,2,55,2
61788,143991,1,35,1
61788,143992,2,35,2
61788,143993,3,8,1
61788,143994,4,6,1
61788,143995,5,3,2
61789,143996,1,30,1
61789,143997,2,29,2
61790,143998,1,58,1
61790,143999,2,63,2
61791,144000,1,41,1
61791,144001,2,38,2
61791,144002,3,14,2
61791,144003,4,9,2
61791,144004,5,18,2
61792,144005,1,48,2
61792,144006,2,51,1
61792,144007,3,17,1
61792,144008,4,15,1
61792,144009,5,11,1
61792,144010,6,8,1
61793,144011,1,49,2
61793,144012,2,14,1
61793,144013,3,12,2
61793,144014,4,5,1
61793,144015,5,36,1
61793,144016,6,54,1
61794,144017,1,59,1
61794,144018,2,53,2
61795,144019,1,49,2
61795,144020,2,55,1
61795,144021,3,15,1
61796,144022,1,50,2
61796,144023,2,65,1
61797,144024,1,60,2
61798,144025,1,57,1
61798,144026,2,57,2
61799,144027,1,63,2
61799,144028,2,46,2
61800,144029,1,59,2
61800,144030,2,59,1
61801,144031,1,50,2
61801,144032,2,51,1
61802,144033,1,84,2
61802,144034,2,47,2
61803,144035,1,29,2
61803,144036,2,0,1
61803,144037,3,16,2
61803,144038,4,3,1
61803,144039,5,21,1
61803,144040,6,48,1
61804,144041,1,56,1
61804,144042,2,54,2
61805,144043,1,51,1
61805,144044,2,55,2
61806,144045,1,43,2
61806,144046,2,52,1
61806,144047,3,18,1
61807,144048,1,55,2
61807,144049,2,52,1
61808,144050,1,31,2
61808,144051,2,39,1
61808,144052,3,7,2
61808,144053,4,17,1
61808,144054,5,15,1
61809,144055,1,30,2
61809,144056,2,29,1
61809,144057,3,9,1
61810,144058,1,50,1
61810,144059,2,29,2
61810,144060,3,7,1
61810,144061,4,6,1
61810,144062,5,2,2
61810,144063,6,29,1
61811,144064,1,41,1
61811,144065,2,38,2
61811,144066,3,12,1
61811,144067,4,9,1
61811,144068,5,8,2
61811,144069,6,2,1
61812,144070,1,47,1
61812,144071,2,43,2
61812,144072,3,15,1
61812,144073,4,15,1
61812,144074,5,10,1
61812,144075,6,6,2
61813,144076,1,66,1
61813,144077,2,65,2
61814,144078,1,35,2
61814,144079,2,31,1
61815,144080,1,74,1
61815,144081,2,75,2
61816,144082,1,35,2
61816,144083,2,15,2
61816,144084,3,13,1
61816,144085,4,8,1
61816,144086,5,16,2
61816,144087,6,9,2
61817,144088,1,57,1
61817,144089,2,57,2
61818,144090,1,63,1
61818,144091,2,57,2
61819,144092,1,27,1
61819,144093,2,25,2
61820,144094,1,29,2
61820,144095,2,0,1
61820,144096,3,16,2
61820,144097,4,3,1
61820,144098,5,21,1
61820,144099,6,48,1
61821,144100,1,64,2
61821,144101,2,60,1
61821,144102,3,10,2
61822,144103,1,60,2
61822,144104,2,73,1
61823,144105,1,52,1
61823,144106,2,56,2
61823,144107,3,22,1
61823,144108,4,21,2
61824,144109,1,47,1
61824,144110,2,46,2
61824,144111,3,25,2
61824,144112,4,17,2
61824,144113,5,5,1
61825,144114,1,61,1
61825,144115,2,59,2
61826,144116,1,61,2
61826,144117,2,63,1
61827,144118,1,34,2
61827,144119,2,40,1
61827,144120,3,9,2
61827,144121,4,4,2
61828,144122,1,68,2
61828,144123,2,80,1
61829,144124,1,44,2
61829,144125,2,43,1
61829,144126,3,22,2
61829,144127,4,19,1
61829,144128,5,24,1
61829,144129,6,67,1
61830,144130,1,33,2
61830,144131,2,38,1
61830,144132,3,13,2
61830,144133,4,11,1
61830,144134,5,5,1
61830,144135,6,1,2
61831,144136,1,61,1
61831,144137,2,59,2
61832,144138,1,42,1
61832,144139,2,76,2
61832,144140,3,94,2
61833,144141,1,50,2
61833,144142,2,68,1
61834,144143,1,71,1
61834,144144,2,72,2
61834,144145,3,36,2
61835,144146,1,38,2
61835,144147,2,17,2
61835,144148,3,14,1
61836,144149,1,56,1
61836,144150,2,60,2
61837,144151,1,35,1
61837,144152,2,35,2
61837,144153,3,8,1
61837,144154,4,6,1
61837,144155,5,3,2
61838,144156,1,63,1
61838,144157,2,64,2
61839,144158,1,42,2
61839,144159,2,50,1
61840,144160,1,48,2
61840,144161,2,19,1
61840,144162,3,16,2
61841,144163,1,36,1
61841,144164,2,8,1
61841,144165,3,7,1
61841,144166,4,4,2
61841,144167,5,1,1
61841,144168,6,32,2
61842,144169,1,69,1
61843,144170,1,55,2
61843,144171,2,57,1
61844,144172,1,28,1
61844,144173,2,25,2
61844,144174,3,1,1
61845,144175,1,59,1
61846,144176,1,48,2
61847,144177,1,67,2
61848,144178,1,67,1
61848,144179,2,65,2
61849,144180,1,62,1
61849,144181,2,60,2
61849,144182,3,3,1
61850,144183,1,49,2
61851,144184,1,32,1
61851,144185,2,19,2
61852,144186,1,53,2
61852,144187,2,66,1
61852,144188,3,28,1
61852,144189,4,7,2
61852,144190,5,5,2
61852,144191,6,24,2
61853,144192,1,47,2
61853,144193,2,19,1
61853,144194,3,62,2
61854,144195,1,36,2
61854,144196,2,35,1
61854,144197,3,10,2
61854,144198,4,8,2
61854,144199,5,3,1
61855,144200,1,43,1
61855,144201,2,11,1
61855,144202,3,21,2
61856,144203,1,38,1
61856,144204,2,38,2
61856,144205,3,15,2
61856,144206,4,13,1
61856,144207,5,8,2
61857,144208,1,50,1
61857,144209,2,44,2
61857,144210,3,9,1
61858,144211,1,44,1
61858,144212,2,45,2
61858,144213,3,17,2
61858,144214,4,15,2
61859,144215,1,61,1
61860,144216,1,53,2
61860,144217,2,66,1
61860,144218,3,28,1
61860,144219,4,7,2
61860,144220,5,5,2
61860,144221,6,24,2
61861,144222,1,62,2
61861,144223,2,55,1
61862,144224,1,62,2
61862,144225,2,64,1
61863,144226,1,47,2
61863,144227,2,52,1
61863,144228,3,19,2
61863,144229,4,17,1
61863,144230,5,12,2
61864,144231,1,44,2
61864,144232,2,43,1
61864,144233,3,22,2
61864,144234,4,19,1
61864,144235,5,24,1
61864,144236,6,67,1
61865,144237,1,59,1
61865,144238,2,13,1
61866,144239,1,36,1
61866,144240,2,38,2
